Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Austria,2017,Total,Both Sexes,Bregenz,City proper,Estimate - de jure,Final figure; complete,2017,29574,
Austria,2017,Total,Both Sexes,Eisenstadt,City proper,Estimate - de jure,Final figure; complete,2017,14339,
Austria,2017,Total,Both Sexes,Graz,City proper,Estimate - de jure,Final figure; complete,2017,283869,
Austria,2017,Total,Both Sexes,Innsbruck,City proper,Estimate - de jure,Final figure; complete,2017,132236,
Austria,2017,Total,Both Sexes,Klagenfurt,City proper,Estimate - de jure,Final figure; complete,2017,99790,
Austria,2017,Total,Both Sexes,Linz,City proper,Estimate - de jure,Final figure; complete,2017,203012,
Austria,2017,Total,Both Sexes,Salzburg,City proper,Estimate - de jure,Final figure; complete,2017,152367,
Austria,2017,Total,Both Sexes,Sankt Pölten,City proper,Estimate - de jure,Final figure; complete,2017,54213,
Austria,2017,Total,Both Sexes,WIEN,City proper,Estimate - de jure,Final figure; complete,2017,1867582,
Austria,2017,Total,Male,Bregenz,City proper,Estimate - de jure,Final figure; complete,2017,14286,
Austria,2017,Total,Male,Eisenstadt,City proper,Estimate - de jure,Final figure; complete,2017,6975,
Austria,2017,Total,Male,Graz,City proper,Estimate - de jure,Final figure; complete,2017,139418,
Austria,2017,Total,Male,Innsbruck,City proper,Estimate - de jure,Final figure; complete,2017,64471,
Austria,2017,Total,Male,Klagenfurt,City proper,Estimate - de jure,Final figure; complete,2017,47217,
Austria,2017,Total,Male,Linz,City proper,Estimate - de jure,Final figure; complete,2017,98157,
Austria,2017,Total,Male,Salzburg,City proper,Estimate - de jure,Final figure; complete,2017,73063,
Austria,2017,Total,Male,Sankt Pölten,City proper,Estimate - de jure,Final figure; complete,2017,26569,
Austria,2017,Total,Male,WIEN,City proper,Estimate - de jure,Final figure; complete,2017,909124,
Austria,2017,Total,Female,Bregenz,City proper,Estimate - de jure,Final figure; complete,2017,15288,
Austria,2017,Total,Female,Eisenstadt,City proper,Estimate - de jure,Final figure; complete,2017,7364,
Austria,2017,Total,Female,Graz,City proper,Estimate - de jure,Final figure; complete,2017,144451,
Austria,2017,Total,Female,Innsbruck,City proper,Estimate - de jure,Final figure; complete,2017,67765,
Austria,2017,Total,Female,Klagenfurt,City proper,Estimate - de jure,Final figure; complete,2017,52573,
Austria,2017,Total,Female,Linz,City proper,Estimate - de jure,Final figure; complete,2017,104855,
Austria,2017,Total,Female,Salzburg,City proper,Estimate - de jure,Final figure; complete,2017,79304,
Austria,2017,Total,Female,Sankt Pölten,City proper,Estimate - de jure,Final figure; complete,2017,27644,
Austria,2017,Total,Female,WIEN,City proper,Estimate - de jure,Final figure; complete,2017,958458,
Belarus,2017,Total,Both Sexes,Baranovichi,City proper,Estimate - de jure,Final figure; complete,2017,179439,
Belarus,2017,Total,Both Sexes,Bobruisk,City proper,Estimate - de jure,Final figure; complete,2017,217940,
Belarus,2017,Total,Both Sexes,Borisov,City proper,Estimate - de jure,Final figure; complete,2017,143287,
Belarus,2017,Total,Both Sexes,Brest,City proper,Estimate - de jure,Final figure; complete,2017,343985,
Belarus,2017,Total,Both Sexes,Gomel,Urban agglomeration,Estimate - de jure,Final figure; complete,2017,535229,
Belarus,2017,Total,Both Sexes,Grodno,City proper,Estimate - de jure,Final figure; complete,2017,368710,
